"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.196334667E0,-9.463932514E-1,-1.705431938E0,-8.212612271E-1
1.206335667E0,-9.900457263E-1,-1.717223644E0,-6.515145898E-1
1.216336667E0,-1.041920424E0,-1.606327176E0,-5.090008974E-1
1.226337667E0,-1.106481433E0,-1.382869124E0,-3.538666070E-1
1.236338667E0,-1.185418606E0,-1.079739094E0,-1.734741777E-1
1.246340667E0,-1.262991905E0,-7.724329233E-1,1.339053176E-2
1.256341667E0,-1.332122445E0,-5.252854228E-1,1.837385595E-1
1.266342667E0,-1.383599877E0,-3.801887333E-1,3.305432498E-1
1.276343667E0,-1.397078395E0,-3.351296186E-1,4.660651088E-1
1.286344667E0,-1.367024064E0,-3.695851862E-1,5.909408331E-1
1.296345667E0,-1.306956291E0,-4.529109597E-1,7.248597741E-1
1.306346667E0,-1.236273766E0,-5.575468540E-1,8.927528858E-1
1.316348667E0,-1.158418655E0,-6.464982629E-1,1.107205153E0
1.326349667E0,-1.060983896E0,-6.994463801E-1,1.361102343E0
1.336350667E0,-9.681183696E-1,-6.786110997E-1,1.620155811E0
1.346351667E0,-8.635365367E-1,-6.590825915E-1,1.862687826E0
1.356352667E0,-7.587478161E-1,-6.450173855E-1,2.085555792E0
1.366353667E0,-6.635998487E-1,-6.323893666E-1,2.308026314E0
1.376354667E0,-5.798705816E-1,-6.075319648E-1,2.519679785E0
1.386356667E0,-5.119524598E-1,-5.607906580E-1,2.726520300E0
1.396357667E0,-4.683828652E-1,-4.769085050E-1,2.940143585E0
1.406358667E0,-4.370303154E-1,-3.485597372E-1,3.167584181E0
1.416359667E0,-4.077600539E-1,-1.852557957E-1,3.425067425E0
1.426360667E0,-3.702467084E-1,2.032097429E-2,3.722673178E0
1.436361667E0,-3.121647537E-1,2.675363421E-1,4.069757462E0
1.446362667E0,-2.092170119E-1,5.720856786E-1,4.451972008E0
1.456364667E0,-8.215706795E-2,9.113497734E-1,4.863862038E0
1.466365667E0,4.909668490E-2,1.223457575E0,5.270494938E0
1.476366667E0,1.704580039E-1,1.410741925E0,5.631828308E0
1.486367667E0,2.467624992E-1,1.407779098E0,5.921944141E0
1.496368667E0,2.163712978E-1,1.214678407E0,6.127289772E0
1.506369667E0,3.026931919E-2,9.239903092E-1,6.249848843E0
1.516370667E0,-3.385614455E-1,6.620859504E-1,6.284541607E0
1.526372667E0,-7.622076273E-1,5.620524883E-1,6.163758278E0
1.536373667E0,-1.105124712E0,6.349919438E-1,5.859366417E0
1.546374667E0,-1.393364310E0,6.827992201E-1,5.522417068E0
1.556375667E0,-1.618046165E0,6.008622646E-1,5.354183674E0
1.566376667E0,-1.733520269E0,5.659304857E-1,5.365185261E0
1.576377667E0,-1.808817625E0,7.342656851E-1,5.461461544E0
1.586378667E0,-1.950578809E0,1.064914227E0,5.468328476E0
1.596380667E0,-2.165157318E0,1.349785566E0,5.266638756E0
1.606381667E0,-2.376370907E0,1.438803315E0,4.866265774E0
1.616382667E0,-2.472326756E0,1.168733001E0,4.439527988E0
1.626383667E0,-2.400705576E0,4.021198452E-1,4.245878696E0
1.636384667E0,-2.257540226E0,-7.431089282E-1,4.372050285E0
1.646385667E0,-2.208041430E0,-2.085538387E0,4.716192722E0
1.656386667E0,-2.230259657E0,-3.439500093E0,5.113877773E0
1.666388667E0,-2.231082678E0,-4.442492485E0,5.350831032E0
1.676389667E0,-2.170776606E0,-4.936068535E0,5.348584175E0
1.686390667E0,-2.045867682E0,-5.013059616E0,5.214686394E0
1.696391667E0,-1.913074732E0,-4.733175755E0,5.010747433E0
1.706392667E0,-1.784419179E0,-4.230704308E0,4.741831303E0
1.716393667E0,-1.708082080E0,-3.613817215E0,4.442747116E0
1.726394667E0,-1.672240734E0,-2.792676926E0,4.126986027E0
1.736396667E0,-1.694884062E0,-1.791262031E0,3.833916426E0
1.746397667E0,-1.841720819E0,-6.802729964E-1,3.602685928E0
1.756398667E0,-2.094904184E0,3.678401709E-1,3.436673403E0
1.766399667E0,-2.351223469E0,1.331029177E0,3.279724360E0
1.776400667E0,-2.545127153E0,2.069313765E0,3.008084536E0
1.786401667E0,-2.631590128E0,2.464852095E0,2.585162640E0
1.796402667E0,-2.626528502E0,2.521326303E0,2.092551231E0
1.806403667E0,-2.512389660E0,2.217005491E0,1.611748457E0
1.816405667E0,-2.351306438E0,1.777191639E0,1.191067338E0
1.826406667E0,-2.111864090E0,1.287541747E0,8.342181444E-1
1.836407667E0,-1.826239944E0,8.438580632E-1,5.653312802E-1
1.846408667E0,-1.493556380E0,4.628619552E-1,3.411361277E-1
1.856409667E0,-1.154260039E0,1.107529104E-1,1.108331531E-1
1.866410667E0,-8.224524856E-1,-2.481004000E-1,-1.393856257E-1
1.876411667E0,-5.200939775E-1,-5.582993031E-1,-3.867932856E-1
1.886413667E0,-2.425023466E-1,-7.764171958E-1,-6.244855523E-1
1.896414667E0,1.976363175E-2,-8.966578841E-1,-8.515173793E-1
1.906415667E0,2.734674215E-1,-9.330222011E-1,-1.082161903E0
1.916416667E0,5.090378523E-1,-9.469228387E-1,-1.286014676E0
1.926417667E0,7.273209691E-1,-9.682495594E-1,-1.454277754E0
1.936418667E0,9.244928956E-1,-9.728637934E-1,-1.582727313E0
1.946419667E0,1.113416195E0,-9.579654932E-1,-1.674555302E0
1.956421667E0,1.314559221E0,-9.307365417E-1,-1.735834956E0
1.966422667E0,1.536933064E0,-8.883364797E-1,-1.803318262E0
1.976423667E0,1.790198565E0,-8.398211002E-1,-1.896962523E0
1.986424667E0,2.065774679E0,-8.174581528E-1,-1.990585566E0
1.996425667E0,2.343566179E0,-8.044478297E-1,-2.076265812E0
2.006426667E0,2.596703768E0,-7.638850808E-1,-2.154780865E0
2.016427667E0,2.824551582E0,-7.105563879E-1,-2.212001562E0
2.026429667E0,3.034292936E0,-6.657070518E-1,-2.267216921E0
2.036430667E0,3.222626925E0,-6.245726943E-1,-2.323298216E0
2.046431667E0,3.398679733E0,-5.677367449E-1,-2.380081415E0
2.056432667E0,3.579712152E0,-4.879471064E-1,-2.430323362E0
2.066433667E0,3.747987509E0,-4.263561666E-1,-2.444897413E0
2.076434667E0,3.880582809E0,-3.871141970E-1,-2.416907549E0
2.086435542E0,3.969348907E0,-3.842221797E-1,-2.355988026E0
2.096437542E0,4.010225296E0,-4.186118543E-1,-2.240754366E0
2.106438542E0,4.013920307E0,-4.792801440E-1,-2.072502613E0
2.116439542E0,3.991566420E0,-5.457113981E-1,-1.861474514E0
2.126440542E0,3.957551479E0,-6.427401304E-1,-1.643505454E0
2.136441542E0,3.909465075E0,-7.720704079E-1,-1.434747458E0
2.146442542E0,3.861609697E0,-8.844687939E-1,-1.238777637E0
2.156444542E0,3.823204279E0,-9.690440893E-1,-1.055918813E0
2.166445542E0,3.789542913E0,-1.066761017E0,-9.086019993E-1
2.176446542E0,3.811287880E0,-1.177205563E0,-8.157945871E-1
2.186447542E0,3.900178671E0,-1.284541726E0,-7.525720596E-1
2.196448542E0,4.014072895E0,-1.426596284E0,-6.949812174E-1
2.206449542E0,4.100250721E0,-1.591720223E0,-6.340256929E-1
2.216450542E0,4.145095825E0,-1.754323840E0,-5.922715664E-1
2.226452542E0,4.169934750E0,-1.856863618E0,-5.922450423E-1
2.236453542E0,4.144953251E0,-1.872290015E0,-6.319349408E-1
2.246454542E0,4.092895508E0,-1.826928854E0,-6.914955974E-1
2.256455542E0,4.017092228E0,-1.754442692E0,-7.281929255E-1
2.266456542E0,3.920928240E0,-1.648507953E0,-7.137102485E-1
2.276457542E0,3.781037092E0,-1.498589754E0,-6.542077661E-1
2.286458542E0,3.619675159E0,-1.316208124E0,-5.982835889E-1
2.296460542E0,3.465919256E0,-1.112403393E0,-5.674657226E-1
2.306461542E0,3.305188179E0,-9.130887389E-1,-5.439444184E-1
2.316462542E0,3.146058559E0,-7.255420089E-1,-4.999692142E-1
2.326463542E0,2.984987974E0,-5.409649611E-1,-4.389299452E-1
2.336464542E0,2.794103384E0,-3.647865355E-1,-3.836485744E-1
2.346465542E0,2.626888037E0,-1.165354550E-1,-3.664156497E-1
2.356466542E0,2.452629566E0,7.985376567E-2,-3.909545541E-1
2.366468542E0,2.285094976E0,2.061753422E-1,-4.220204353E-1
2.376469542E0,2.120167255E0,2.567402422E-1,-4.515503645E-1
2.386470542E0,1.946158648E0,2.148896307E-1,-4.825250804E-1
2.396471542E0,1.765513778E0,9.938461334E-2,-5.238826275E-1
2.406472542E0,1.559184313E0,-4.917825758E-2,-5.679160357E-1
2.416473542E0,1.331657648E0,-1.819003522E-1,-6.113561988E-1
2.426474542E0,1.116261363E0,-2.664875090E-1,-6.658871174E-1
2.436476542E0,9.313610196E-1,-3.295018971E-1,-7.464485168E-1
2.446477542E0,7.724298239E-1,-4.291716814E-1,-8.556085825E-1
2.456478542E0,6.558329463E-1,-6.126121283E-1,-9.582433701E-1
2.466479542E0,5.586608052E-1,-8.574014902E-1,-1.004884243E0
2.476480542E0,4.107587039E-1,-1.061842084E0,-1.003018618E0
2.486481542E0,2.093174160E-1,-1.175339937E0,-1.018804789E0
2.496482542E0,-7.197049912E-3,-1.182309389E0,-1.080163240E0
2.506484542E0,-2.402452081E-1,-1.151046395E0,-1.176679134E0
2.516485542E0,-4.616945088E-1,-1.094041467E0,-1.266763210E0
2.526486542E0,-6.629049182E-1,-1.013218284E0,-1.321155667E0
2.536487542E0,-8.384810090E-1,-8.765185475E-1,-1.354842305E0
2.546488542E0,-1.009645700E0,-7.006798387E-1,-1.388280749E0
2.556489542E0,-1.196776986E0,-5.079564452E-1,-1.424079537E0
2.566491542E0,-1.400029540E0,-3.305212557E-1,-1.470269084E0
2.576492542E0,-1.601042867E0,-1.315881908E-1,-1.525835633E0
2.586493542E0,-1.782817602E0,9.810005873E-2,-1.569944143E0
2.596494542E0,-1.931072593E0,3.411222994E-1,-1.594287872E0
2.606495542E0,-2.050872326E0,5.921869278E-1,-1.641364932E0
2.616496542E0,-2.146165133E0,8.213633895E-1,-1.754421949E0
2.626497542E0,-2.222616911E0,9.803077579E-1,-1.927676082E0
2.636499542E0,-2.278555155E0,1.055122614E0,-2.154831648E0
2.646500542E0,-2.355441570E0,1.098255992E0,-2.368840933E0
2.656501542E0,-2.430243731E0,1.127059937E0,-2.505407810E0
2.666502542E0,-2.477852345E0,1.300042033E0,-2.601947069E0
2.676503542E0,-2.411881208E0,1.214760780E0,-2.700196266E0
2.686504542E0,-2.300746441E0,1.123041153E0,-2.820750475E0
2.696505542E0,-2.209179163E0,8.968679309E-1,-2.945221901E0
2.706507542E0,-2.157085180E0,6.385988593E-1,-3.040529490E0
2.716508542E0,-2.146238804E0,3.514477611E-1,-3.106335402E0
2.726509542E0,-2.160583258E0,5.660048127E-2,-3.162557840E0
2.736510542E0,-2.168374538E0,-2.993568480E-1,-3.201711416E0
2.746511542E0,-2.121542215E0,-6.795406342E-1,-3.234876394E0
2.756512542E0,-2.024098873E0,-1.043307185E0,-3.250019789E0
2.766514542E0,-1.921013236E0,-1.373665333E0,-3.233397484E0
2.776515542E0,-1.850961208E0,-1.653107643E0,-3.190202475E0
2.786516542E0,-1.793860793E0,-1.839566708E0,-3.141260386E0
2.796517542E0,-1.751590490E0,-2.000333071E0,-3.107232332E0
2.806518542E0,-1.643224955E0,-2.154881954E0,-3.062049627E0
2.816519542E0,-1.475136638E0,-2.320501804E0,-2.963067293E0
2.826520542E0,-1.332926512E0,-2.484043598E0,-2.807563305E0
2.836522542E0,-1.262343526E0,-2.546450377E0,-2.671052217E0
2.846523542E0,-1.327993393E0,-2.484720945E0,-2.566282511E0
2.856524542E0,-1.577642083E0,-2.215682507E0,-2.471893549E0
2.866525542E0,-1.836891174E0,-1.799000382E0,-2.500310659E0
2.876526542E0,-1.906330466E0,-1.270237684E0,-2.764542580E0
2.886527542E0,-1.802781820E0,-6.288191676E-1,-3.171290874E0
2.896529542E0,-1.561904550E0,1.245568618E-1,-3.605263472E0
2.906530542E0,-1.317837596E0,9.054132700E-1,-3.928137064E0
2.916531542E0,-1.135069847E0,1.664402962E0,-4.106372356E0
2.926532542E0,-1.081924200E0,2.174967766E0,-4.146682262E0
