"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.583632917E-1,-4.868775330E0,-2.155517578E-2,-3.805087280E0,6.179330631E0
9.683642917E-1,-4.677473145E0,7.204518127E-1,-3.580105133E0,5.934219291E0
9.783652917E-1,-4.391567688E0,1.191372528E0,-3.290607147E0,5.615454626E0
9.883662916E-1,-4.219575348E0,1.610351257E0,-3.012934570E0,5.429164025E0
9.983672916E-1,-4.191134491E0,2.129172363E0,-2.667303314E0,5.404950531E0
1.008368292E0,-4.483476562E0,2.519111481E0,-2.252515869E0,5.614384426E0
1.018369292E0,-4.967569885E0,2.789449310E0,-1.759441223E0,5.962668148E0
1.028370292E0,-5.434299316E0,2.965932312E0,-1.378184052E0,6.342535362E0
1.038371292E0,-5.738167419E0,3.021317139E0,-1.059496765E0,6.570955485E0
1.048372292E0,-5.870941315E0,3.014730835E0,-7.616162109E-1,6.643539206E0
1.058373292E0,-5.967789917E0,3.121608582E0,-6.186634827E-1,6.763261132E0
1.068374292E0,-6.222859497E0,3.333418121E0,-4.086502075E-1,7.071255312E0
1.078375292E0,-6.532715149E0,3.466042328E0,-3.567082214E-1,7.403854225E0
1.088376292E0,-6.871311035E0,3.692072296E0,-5.727090454E-1,7.821400695E0
1.098377292E0,-7.067552948E0,4.017794952E0,-7.352709961E-1,8.162940915E0
1.108378292E0,-7.015760651E0,4.347409515E0,-1.267115021E0,8.350236373E0
1.118380292E0,-6.746171265E0,4.708608398E0,-1.805545349E0,8.422696349E0
1.128381292E0,-6.273603973E0,4.975204010E0,-1.867217102E0,8.221755376E0
1.138382292E0,-5.945935364E0,5.290149078E0,-2.318378906E0,8.289433357E0
1.148383292E0,-5.600902863E0,5.735023956E0,-2.779869232E0,8.484591069E0
1.158384292E0,-5.385051727E0,6.043682098E0,-3.789220276E0,8.937732694E0
1.168385292E0,-5.123545532E0,6.174360352E0,-5.619015198E0,9.795242537E0
1.178386292E0,-3.866609344E0,5.916446686E0,-5.791157227E0,9.137423665E0
1.188387292E0,-1.736389160E0,5.285508728E0,-4.436623993E0,7.115847264E0
1.198388292E0,3.296145630E-1,4.903503113E0,-3.328927460E0,5.935886334E0
1.208389292E0,1.750609589E0,5.186115417E0,-2.346520386E0,5.955382857E0
1.218390292E0,1.912572784E0,6.006858673E0,-1.657203827E0,6.518175381E0
1.228391292E0,9.214837646E-1,6.936575317E0,-3.144960022E-1,7.004578303E0
1.238392292E0,-8.879534912E-1,7.670050049E0,4.328997803E-1,7.733403609E0
1.248393292E0,-2.191293182E0,8.452023926E0,3.805087280E-1,8.739751778E0
1.258394292E0,-3.189866638E0,8.818162537E0,1.219663696E0,9.456363954E0
1.268395292E0,-4.819078674E0,8.601562958E0,4.116439819E-1,9.868123193E0
1.278396292E0,-6.437363434E0,8.194709015E0,-1.006057892E0,1.046924335E1
1.288397292E0,-7.157665558E0,7.663314056E0,-1.162931671E0,1.055040135E1
1.298398292E0,-7.033274231E0,7.287595367E0,-1.338067474E0,1.021598831E1
1.308399292E0,-6.452032928E0,7.156917114E0,-1.439406738E0,9.742796480E0
1.318400292E0,-5.707930298E0,7.423213348E0,-1.369352417E0,9.463598192E0
1.328401292E0,-5.149142303E0,7.964787140E0,-1.384920044E0,9.584858067E0
1.338402292E0,-4.955145721E0,8.480464783E0,-1.415606232E0,9.923491979E0
1.348403292E0,-4.961881714E0,8.896749115E0,-1.188977509E0,1.025602664E1
1.358405292E0,-5.068460083E0,9.209598541E0,-1.155147858E0,1.057546025E1
1.368406292E0,-5.099595337E0,9.391470337E0,-1.514700165E0,1.079351214E1
1.378407292E0,-4.940476227E0,9.290729828E0,-1.794019318E0,1.067447757E1
1.388408292E0,-4.715194702E0,8.821605377E0,-1.788780212E0,1.016137378E1
1.398409292E0,-4.621339874E0,8.115523682E0,-1.763782196E0,9.504179843E0
1.408410292E0,-4.686005402E0,7.574398956E0,-1.806593170E0,9.088121096E0
1.418411292E0,-4.736300812E0,7.326664124E0,-1.902244263E0,8.929226495E0
1.428412292E0,-4.866679688E0,7.441026306E0,-2.288890228E0,9.181092644E0
1.438413292E0,-5.072052612E0,7.786358185E0,-2.366728363E0,9.589290622E0
1.448414292E0,-5.248086548E0,7.959697723E0,-2.136207733E0,9.770495573E0
1.458415292E0,-5.206622772E0,8.067323914E0,-1.895358582E0,9.786879992E0
1.468415583E0,-4.970713348E0,8.064030762E0,-1.668580170E0,9.618770353E0
1.478416583E0,-4.722230072E0,7.756869507E0,-1.373543701E0,9.184503454E0
1.488417583E0,-4.526287537E0,7.250173187E0,-1.272204437E0,8.641226431E0
1.498418583E0,-4.606371002E0,6.714586945E0,-1.646426239E0,8.307529778E0
1.508419583E0,-4.547992401E0,6.359076233E0,-2.043700104E0,8.080767014E0
1.518420583E0,-3.826792145E0,6.466403046E0,-3.055296478E0,8.111321904E0
1.528421583E0,-2.671494598E0,7.085515594E0,-3.806135101E0,8.475144780E0
1.538422583E0,-1.867815857E0,7.898325348E0,-3.974684601E0,9.037167535E0
1.548423583E0,-1.827998657E0,8.366252289E0,-4.144730988E0,9.513913570E0
1.558424583E0,-2.391726379E0,8.525670776E0,-4.328249359E0,9.856021498E0
1.568425583E0,-2.924318848E0,8.305029602E0,-4.299359436E0,9.798451356E0
1.578426583E0,-2.886896667E0,7.957751770E0,-4.154460754E0,9.429715253E0
1.588427583E0,-2.327958984E0,7.698041840E0,-4.085454254E0,9.020541983E0
1.598429583E0,-1.704056396E0,7.468419342E0,-4.155658264E0,8.714963642E0
1.608430583E0,-1.116677856E0,7.582033081E0,-4.615202637E0,8.946188599E0
1.618431583E0,-6.750961304E-1,7.559280396E0,-4.640799408E0,8.895813286E0
1.628432583E0,-4.767585754E-1,7.610773315E0,-4.520599365E0,8.864930221E0
1.638433583E0,-6.002517700E-1,7.529192963E0,-4.367617493E0,8.724971714E0
1.648434583E0,-8.957373047E-1,7.490423584E0,-4.098327484E0,8.585166216E0
1.658435583E0,-1.138233032E0,7.551945648E0,-3.806434479E0,8.533252659E0
1.668436583E0,-1.273401947E0,7.713010712E0,-3.623664551E0,8.616439609E0
1.678437583E0,-1.313817902E0,7.882907410E0,-3.723057861E0,8.816320465E0
1.688438583E0,-1.278790741E0,8.232879639E0,-3.872896271E0,9.187760251E0
1.698439583E0,-1.265468445E0,8.234226837E0,-3.944597168E0,9.217578251E0
1.708440583E0,-1.511706390E0,8.002059631E0,-3.860322418E0,9.012230785E0
1.718441583E0,-1.966460724E0,7.685767365E0,-3.811523895E0,8.801460229E0
1.728442583E0,-2.341131592E0,7.367529144E0,-3.813918915E0,8.620171710E0
1.738443583E0,-2.456990662E0,7.339387665E0,-4.062252502E0,8.741013088E0
1.748444583E0,-2.301763458E0,7.472910004E0,-4.270020447E0,8.909297029E0
1.758445583E0,-1.926493835E0,7.900121613E0,-4.569846954E0,9.327743627E0
1.768446583E0,-1.423689423E0,8.087531891E0,-5.152136078E0,9.694306052E0
1.778447583E0,-7.918533325E-1,8.349038086E0,-5.719905396E0,1.015139332E1
1.788448583E0,-1.580712891E-1,8.118367767E0,-5.971981201E0,1.007955561E1
1.798449583E0,2.685415649E-1,7.656428375E0,-5.989943848E0,9.724836108E0
1.808450583E0,4.116439819E-1,7.377258911E0,-6.150260468E0,9.613485509E0
1.818452583E0,2.401007080E-1,7.401807861E0,-6.417604523E0,9.799492628E0
1.828453583E0,-2.273771667E-1,7.676336975E0,-6.671626282E0,1.017292716E1
1.838454583E0,-8.828640747E-1,8.074059906E0,-6.715335388E0,1.053876756E1
1.848455583E0,-1.597028961E0,8.343349915E0,-6.657705231E0,1.079291565E1
1.858456583E0,-2.238145752E0,8.464597778E0,-6.609355774E0,1.097006361E1
1.868457583E0,-2.816992035E0,8.375532990E0,-6.532864838E0,1.098923655E1
1.878458583E0,-3.258573761E0,8.135132904E0,-6.347101135E0,1.082055374E1
1.888459583E0,-3.551514587E0,7.822433167E0,-6.025270386E0,1.049321684E1
1.898460583E0,-3.734434204E0,7.498357086E0,-5.588329010E0,1.006979538E1
1.908461583E0,-3.776047668E0,7.191794586E0,-5.123994598E0,9.603945336E0
1.918462583E0,-3.659889221E0,6.894512787E0,-4.788093109E0,9.157233824E0
1.928463583E0,-3.602558441E0,6.661896515E0,-4.530329132E0,8.825144449E0
1.938464583E0,-3.892056427E0,6.565796356E0,-4.462819519E0,8.841636901E0
1.948465583E0,-4.443359985E0,6.619235229E0,-4.475543060E0,9.142658731E0
1.958466583E0,-4.965474243E0,6.673572235E0,-4.508175201E0,9.461297188E0
1.968467583E0,-5.441484375E0,6.628216553E0,-4.451742554E0,9.662350575E0
1.978468583E0,-5.789510651E0,6.544839935E0,-4.207600250E0,9.698312390E0
1.988469583E0,-5.816903687E0,6.437213745E0,-3.978277130E0,9.544672767E0
1.998470583E0,-5.475763092E0,6.356531525E0,-3.850592651E0,9.231280422E0
2.008471583E0,-5.102140045E0,6.323600006E0,-3.848197632E0,8.990460227E0
2.018472583E0,-4.821922760E0,6.427633667E0,-3.906576233E0,8.934581777E0
2.028473583E0,-4.646188202E0,6.483467560E0,-3.954925690E0,8.903024970E0
2.038474583E0,-4.775668945E0,6.350244598E0,-3.841461639E0,8.825499865E0
2.048475583E0,-5.095553741E0,6.113437042E0,-3.785028992E0,8.812787577E0
2.058477583E0,-5.234913940E0,5.890849915E0,-3.814667358E0,8.755462508E0
2.068478583E0,-5.229375458E0,5.853278046E0,-3.944896545E0,8.784613840E0
2.078479583E0,-5.210514679E0,5.980064392E0,-4.123475189E0,8.939445228E0
2.088480583E0,-5.204826508E0,6.076463928E0,-4.354594574E0,9.109123270E0
2.098481583E0,-5.313949585E0,5.992787933E0,-4.491410065E0,9.182828092E0
2.108482583E0,-5.494324493E0,5.802832947E0,-4.666845245E0,9.254183724E0
2.118483583E0,-5.557792511E0,5.588478699E0,-4.822222137E0,9.239804008E0
