"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.987788542E0,9.066496124E0,4.255201263E0,1.897005157E0
2.997790542E0,8.128845978E0,2.827170868E0,1.858834534E0
3.007791542E0,6.549330597E0,2.094743958E0,3.040177917E0
3.017792542E0,4.902305603E0,2.092498627E0,4.437372437E0
3.027793542E0,3.459156647E0,2.488724670E0,5.220244446E0
3.037794542E0,2.168091431E0,2.867137756E0,5.469027100E0
3.047795542E0,8.731343079E-1,3.220253448E0,5.411846008E0
3.057797542E0,-4.546046448E-1,3.757186890E0,5.292095032E0
3.067798542E0,-1.650318146E0,4.376299438E0,4.822222137E0
3.077799542E0,-2.465672607E0,4.949457550E0,3.927083588E0
3.087800542E0,-2.923720093E0,5.247787170E0,2.782863007E0
3.097802125E0,-3.164868622E0,5.206024017E0,1.706451416E0
3.107803125E0,-3.397784271E0,5.305567017E0,1.085841980E0
3.117804125E0,-3.740571442E0,5.971232758E0,8.689430237E-1
3.127806125E0,-3.360511780E0,6.977440338E0,1.077758789E0
3.137807125E0,-2.011367340E0,8.137976990E0,1.685494995E0
3.147808125E0,-2.392025757E-1,9.156758423E0,2.236050110E0
3.157809125E0,1.410965881E0,9.831854553E0,3.043620758E0
3.167810125E0,2.582280121E0,1.015143997E1,4.137246552E0
3.177811125E0,3.280278625E0,1.017703674E1,5.066065063E0
3.187813125E0,3.539689178E0,9.891879730E0,5.602250061E0
3.197814125E0,3.478017426E0,9.359736328E0,5.567073212E0
3.207815125E0,3.081192627E0,8.793014832E0,5.099445648E0
3.217816125E0,2.447859650E0,8.430917816E0,4.659360809E0
3.227817125E0,1.835183716E0,8.281827850E0,4.423750763E0
3.237818125E0,1.393003235E0,8.350085907E0,4.315825195E0
3.247820125E0,1.233435059E0,8.488098907E0,4.212240601E0
3.257821125E0,1.292861481E0,8.592731323E0,4.000580750E0
3.267822125E0,1.366358643E0,8.634793854E0,3.939058685E0
3.277823125E0,1.285526733E0,8.845405884E0,4.108506317E0
3.287824125E0,1.035247192E0,9.250164185E0,4.379293213E0
3.297825125E0,6.730004883E-1,9.756710815E0,5.111869812E0
3.307826125E0,3.614982605E-1,1.032373169E1,6.117778015E0
3.317828125E0,1.639091492E-1,1.078926361E1,7.031178589E0
3.327829125E0,1.013392639E-1,1.104463257E1,7.687413940E0
3.337830125E0,2.459385681E-1,1.101843704E1,7.864645386E0
3.347831125E0,5.718109131E-1,1.092203751E1,7.443121948E0
3.357832125E0,9.892927551E-1,1.080587906E1,6.656058655E0
3.367833125E0,1.388063507E0,1.041549088E1,5.949527893E0
3.377835125E0,1.694476318E0,9.727521515E0,5.493875427E0
3.387836125E0,1.889520721E0,9.094487915E0,5.136119385E0
3.397837125E0,2.013462982E0,8.662037201E0,4.734205170E0
3.407838125E0,2.172133026E0,8.361911316E0,4.273612976E0
3.417839125E0,2.377955017E0,8.127199402E0,3.772754517E0
3.427840125E0,2.627186737E0,7.898475037E0,3.347638550E0
3.437842125E0,2.860850830E0,7.651039581E0,3.028651886E0
3.447843125E0,3.035986633E0,7.445217590E0,2.842588806E0
3.457844125E0,3.152893524E0,7.310647430E0,2.702180786E0
3.467845125E0,3.256627808E0,7.305258636E0,2.609224091E0
3.477846125E0,3.449426880E0,7.455546112E0,2.527793427E0
3.487847125E0,3.719016266E0,7.716154175E0,2.425256653E0
3.497849125E0,3.955823822E0,7.934250641E0,2.265538788E0
3.507850125E0,4.114344177E0,8.113278351E0,2.158661041E0
3.517851125E0,4.239334259E0,8.187673645E0,2.027533722E0
3.527852125E0,4.513414307E0,8.152796173E0,1.858834534E0
3.537853125E0,4.963827667E0,8.097561035E0,1.826352081E0
3.547854125E0,5.549559631E0,8.121810608E0,1.917961578E0
3.557856125E0,6.221512299E0,8.081694031E0,2.090103607E0
3.567857125E0,6.809938660E0,8.081993408E0,2.447560272E0
3.577858125E0,7.029232635E0,8.342451782E0,2.874472504E0
3.587859125E0,6.948550415E0,8.551566925E0,3.057092743E0
3.597860125E0,6.794969788E0,8.385262756E0,2.981050873E0
3.607861125E0,6.617438965E0,7.893834686E0,2.787203979E0
3.617862125E0,6.534212036E0,7.368277588E0,2.512375488E0
3.627864125E0,6.402186584E0,7.156018982E0,2.308948517E0
3.637865125E0,6.077960815E0,7.448361053E0,2.098635864E0
3.647866125E0,5.681734772E0,7.989485779E0,1.968406677E0
3.657867125E0,5.260361023E0,8.432414703E0,1.933080139E0
3.667868125E0,4.955295410E0,8.566685486E0,1.816472626E0
3.677869125E0,4.854704590E0,8.287965088E0,1.614392853E0
3.687871125E0,4.854554901E0,7.786956940E0,1.307530975E0
3.697872125E0,4.725223846E0,7.466623077E0,1.205293579E0
3.707873125E0,4.464166718E0,7.542664948E0,1.525477753E0
3.717874125E0,4.231251068E0,7.790848846E0,2.149530029E0
3.727875125E0,4.341122589E0,7.954458618E0,2.627935181E0
3.737876125E0,4.812791748E0,8.009544067E0,2.453996887E0
3.747878125E0,5.519621887E0,8.046966248E0,1.683399353E0
3.757879125E0,6.212680664E0,8.101003876E0,8.837622070E-1
3.767880125E0,6.687193909E0,8.144712982E0,4.731660461E-1
3.777881125E0,7.010671234E0,8.017776947E0,8.050259399E-1
3.787882125E0,7.245532837E0,7.750283203E0,1.617686005E0
3.797883125E0,7.391629028E0,7.435936890E0,2.361788635E0
3.807885125E0,7.499554596E0,7.172035675E0,2.705623627E0
